Month,Open Price,High Price,Low Price,Close Price
2011-10-01,3150,3204,2998,3151.15
2011-11-01,3149.9,3260,2825,2881
2011-12-01,2890.05,2965,2551.05,2594.95
2012-01-01,2580,3038,2555.9,2987.25
2012-02-01,2990,3195,2898,3169.9
2012-03-01,3165.1,3332.5,3004,3237.75
2012-04-01,3239,3550,3225,3523.05
2012-05-01,3506.45,4170,3479.7,4034.65
2012-06-01,4020,4020,3661.1,3881.85
2012-07-01,3883.5,3965,3447.9,3637.05
2012-08-01,3622.4,3815,3591.05,3653.35
2012-09-01,3654,4015,3616.1,3936.5
2012-10-01,3955,3959.9,3775.1,3868.9
2012-11-01,3869.25,4375,3835.05,4327.55
2012-12-01,4338.9,4494,4225,4420.25
2013-01-01,4420,4565.55,4263,4502.05
2013-02-01,4510,4670,4252.1,4290.45
2013-03-01,4300,5047,4278.1,4914.4
2013-04-01,4906.95,4974.5,4460,4681.75
2013-05-01,4717.9,4952,4590.5,4864.2
2013-06-01,4864.2,4864.2,4302,4630
2013-07-01,4634.9,5246.6,496,507.1
2013-08-01,516,516,376.35,418.75
2013-09-01,421,504,395.75,459.35
2013-10-01,461,540,452,538.4
2013-11-01,535,560,499.75,503.35
2013-12-01,509,514.7,482.9,490.75
2014-01-01,493.75,505.75,464.75,472.25
2014-02-01,476.9,495,461,472.95
2014-03-01,472.1,548,469.1,546.5
2014-04-01,548,549.65,495.15,505.15
2014-05-01,509,565,501.3,509.45
2014-06-01,507,596.75,503.2,592.7
2014-07-01,592,647.2,565.5,629.15
2014-08-01,617,650.1,603,624.15
2014-09-01,628.9,680,612.6,629.4
2014-10-01,631.1,672.9,623.1,656.15
2014-11-01,660,748.25,637.2,743.7
2014-12-01,754,809.25,719.5,751.75
2015-01-01,750,922.8,747.25,857.45
2015-02-01,856,856,784.65,818.35
2015-03-01,824,848.75,769.2,808.75
2015-04-01,808,864.25,731,762.9
2015-05-01,779,818,735.4,787
2015-06-01,787,794.55,693,754.45
2015-07-01,756.35,884.8,755.2,881.45
2015-08-01,884,924.65,812.75,848.6
2015-09-01,847,848.25,778.75,841.1
2015-10-01,846,892,812.5,828.7
2015-11-01,828,865,785,840.45
2015-12-01,840,888,830,883.85
2016-01-01,882.95,912,825,868.85
2016-02-01,873.55,907.85,827.2,848.55
2016-03-01,856,906.75,837,868.7
2016-04-01,860,894.6,843.05,868.1
2016-05-01,866,1003.85,861,984.1
2016-06-01,990,1037.3,964,1003.65
2016-07-01,1003.55,1080,983.55,1060.65
