iter	Passed	Remaining
884	7120	925
885	7128	917
886	7135	909
887	7142	900
888	7150	892
889	7157	884
890	7164	876
891	7173	868
892	7181	860
893	7189	852
894	7197	844
895	7206	836
896	7214	828
897	7222	820
898	7230	812
899	7238	804
900	7245	796
901	7254	788
902	7262	780
903	7270	772
904	7278	764
905	7287	756
906	7296	748
907	7304	740
908	7314	732
909	7323	724
910	7331	716
911	7339	708
912	7348	700
913	7356	692
914	7363	684
915	7371	676
916	7379	667
917	7387	659
918	7394	651
919	7403	643
920	7411	635
921	7419	627
922	7427	619
923	7436	611
924	7444	603
925	7452	595
926	7460	587
927	7469	579
928	7478	571
929	7487	563
930	7495	555
931	7503	547
932	7512	539
933	7519	531
934	7528	523
935	7536	515
936	7544	507
937	7552	499
938	7559	491
939	7568	483
940	7576	475
941	7585	467
942	7593	458
943	7601	450
944	7609	442
945	7617	434
946	7625	426
947	7633	418
948	7641	410
949	7649	402
950	7656	394
951	7664	386
952	7671	378
953	7679	370
954	7686	362
955	7694	354
956	7701	346
957	7709	337
958	7716	329
959	7725	321
960	7733	313
961	7741	305
962	7749	297
963	7757	289
964	7765	281
965	7774	273
966	7782	265
967	7790	257
968	7799	249
969	7807	241
970	7816	233
971	7824	225
972	7833	217
973	7840	209
974	7849	201
975	7857	193
976	7865	185
977	7873	177
978	7881	169
979	7890	161
980	7897	152
981	7905	144
982	7913	136
983	7920	128
984	7928	120
985	7934	112
986	7943	104
987	7952	96
988	7959	88
989	7969	80
990	7976	72
991	7984	64
992	7991	56
993	8000	48
994	8008	40
995	8016	32
996	8023	24
997	8031	16
998	8039	8
999	8048	0
